,Arabic,English
1438,فَاذْكُرُونِي أَذْكُرْكُمْ وَاشْكُرُوا لِي وَلَا تَكْفُرُونِ,"Remember Me and I will remember you, be grateful to Me and do not be ungrateful."
1439,وَاذْكُرُوا اللَّهَ كَثِيرًا لَّعَلَّكُمْ تُفْلِحُونَ,Remember Allah often that you may succeed.
1440,وَاذْكُر رَّبَّكَ فِي نَفْسِكَ تَضَرُّعًا وَخِيفَةً وَدُونَ الْجَهْرِ مِنَ الْقَوْلِ بِالْغُدُوِّ وَالْآصَالِ وَلَا تَكُن مِّنَ الْغَافِلِينَ,"Remember your Lord within yourself with humility and in private, without announcing it, in the mornings and evenings, and do not be among the unmindful."
1441,يَا أَيُّهَا الَّذِينَ آمَنُوا اذْكُرُوا اللَّهَ ذِكْرًا كَثِيرًا وَسَبِّحُوهُ بُكْرَةً وَأَصِيلًا,"O you who believe, remember Allah with much remembrance and exalt Him in the morning and evening."
1442,مَثَلُ الْبَيْتِ الَّذِي يُذْكَرُ اللَّهُ فِيهِ وَالْبَيْتِ الَّذِي لَا يُذْكَرُ اللَّهُ فِيهِ مَثَلُ الْحَيِّ وَالْمَيِّتِ,The example of the house which remembers Allah and the house which does not remember Allah is that of the living and the dead.
1443,كَلِمَتَانِ حَبِيبَتَانِ إِلَى الرَّحْمَنِ خَفِيفَتَانِ عَلَى اللِّسَانِ ثَقِيلَتَانِ فِي الْمِيزَانِ سُبْحَانَ اللَّهِ وَبِحَمْدِهِ سُبْحَانَ اللَّهِ الْعَظِيمِ,"Two words are beloved to the Most Merciful. They are light on the tongue but heavy on the scale: Glory and praise to Allah, and glory to Allah the Almighty."
1444,لَأَنْ أَقُولَ سُبْحَانَ اللَّهِ وَالْحَمْدُ لِلَّهِ وَلَا إِلَهَ إِلَّا اللَّهُ وَاللَّهُ أَكْبَرُ أَحَبُّ إِلَيَّ مِمَّا طَلَعَتْ عَلَيْهِ الشَّمْسُ,"To declare the glory of Allah, the praise of Allah, the oneness of Allah, and the greatness of Allah is more beloved to me than anything over which the sun rises."
1445,مَنْ قَالَ لَا إِلَهَ إِلَّا اللهُ وَحْدَهُ لَا شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ فِي يَوْمٍ مِائَةَ مَرَّةٍ كَانَتْ لَهُ عَدْلَ عَشْرِ رِقَابٍ وَكُتِبَتْ لَهُ مِائَةُ حَسَنَةٍ وَمُحِيَتْ عَنْهُ مِائَةُ سَيِّئَةٍ وَكَانَتْ لَهُ حِرْزًا مِنَ الشَّيْطَانِ يَوْمَهُ ذَلِكَ حَتَّى يُمْسِيَ وَلَمْ يَأْتِ أَحَدٌ أَفْضَلَ مِمَّا جَاءَ بِهِ إِلَّا أَحَدٌ عَمِلَ أَكْثَرَ مِنْ ذَلِكَ وَمَنْ قَالَ سُبْحَانَ اللهِ وَبِحَمْدِهِ فِي يَوْمٍ مِائَةَ مَرَّةٍ حُطَّتْ خَطَايَاهُ وَلَوْ كَانَتْ مِثْلَ زَبَدِ الْبَحْرِ,"Whoever declares there is no god but Allah without any partner, to Him belongs sovereignty and praise and He is powerful over everything one hundred times a day, he will have the reward of emancipating ten slaves, a hundred good deeds will be recorded for him, a hundred sins will be erased from his record, and he will have a guard against Satan during the day until evening. No one will exceed him but one who recited these words more often. Whoever declares the glory of Allah and His praises one hundred times a day, his sins will be diminished even if they are like the foam of the sea."
1446,أَلَا أُخْبِرُكَ بِأَحَبِّ الْكَلَامِ إِلَى اللَّهِ إِنَّ أَحَبَّ الْكَلَامِ إِلَى اللَّهِ سُبْحَانَ اللَّهِ وَبِحَمْدِهِ,"Shall I tell you about the most beloved word to Allah? Verily, the most beloved word to Allah is to declare the glory of Allah and His praise."
1447,الطُّهُورُ شَطْرُ الْإِيمَانِ وَالْحَمْدُ لِلَّهِ تَمْلَأُ الْمِيزَانَ وَسُبْحَانَ اللَّهِ وَالْحَمْدُ لِلَّهِ تَمْلَآَنِ أَوْ تَمْلَأُ مَا بَيْنَ السَّمَاوَاتِ وَالْأَرْضِ وَالصَّلَاةُ نُورٌ وَالصَّدَقَةُ بُرْهَانٌ وَالصَّبْرُ ضِيَاءٌ وَالْقُرْآنُ حُجَّةٌ لَكَ أَوْ عَلَيْكَ كُلُّ النَّاسِ يَغْدُو فَبَايِعٌ نَفْسَهُ فَمُعْتِقُهَا أَوْ مُوبِقُهَا,"Purity is half of faith, and the praise of Allah fills the scale. Glorification and praise fill up what is between the heavens and the earth. Prayer is a light, charity is proof, and patience is illumination. The Quran is a proof for you or against you. All people go out early in the morning and sell themselves, either setting themselves free or ruining themselves."
1448,قُلْ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ اللَّهُ أَكْبَرُ كَبِيرًا وَالْحَمْدُ لِلَّهِ كَثِيرًا سُبْحَانَ اللَّهِ رَبِّ الْعَالَمِينَ لَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ الْعَزِيزِ الْحَكِيمِ,"Say: There is no god but Allah without any partner, Allah is the greatest of the great, all praise is due to Allah in abundance, glory be to Allah the Lord of the worlds, there is no movement or might but in Allah, the Almighty, the Wise."
1449,قُلْ اللَّهُمَّ اغْفِرْ لِي وَارْحَمْنِي وَاهْدِنِي وَارْزُقْنِي,"Say: O Allah, forgive me, have mercy upon me, guide me, and provide for me."
1450,أَفَلَا أُعَلِّمُكُمْ شَيْئًا تُدْرِكُونَ بِهِ مَنْ سَبَقَكُمْ وَتَسْبِقُونَ بِهِ مَنْ بَعْدَكُمْ وَلَا يَكُونُ أَحَدٌ أَفْضَلَ مِنْكُمْ إِلَّا مَنْ صَنَعَ مِثْلَ مَا صَنَعْتُمْ,"Shall I teach you something by which you will reach those ahead of you, surpass those after you, and by which no one will be better than you but one who does like you?"
1451,تُسَبِّحُونَ وَتُكَبِّرُونَ وَتَحْمَدُونَ دُبُرَ كُلِّ صَلَاةٍ ثَلَاثًا وَثَلَاثِينَ مَرَّةً,"Glorify Allah, exalt Allah, and praise Allah thirty three times after every prayer."
1452,يَا مُعَاذُ وَاللَّهِ إِنِّي لَأُحِبُّكَ وَاللَّهِ إِنِّي لَأُحِبُّكَ أُوصِيكَ يَا مُعَاذُ لَا تَدَعَنَّ فِي دُبُرِ كُلِّ صَلَاةٍ تَقُولُ اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ,"O Mu’adh, I swear by Allah that I love you. I swear by Allah that I love you. O Mu’adh, I advise you not to forget supplicating after every prayer, saying: O Allah, help me to remember You, to give thanks to You, and to worship You in the best manner."
1453,وَإِنِّي نُهِيتُ أَنْ أَقْرَأَ الْقُرْآنَ رَاكِعًا أَوْ سَاجِدًا فَأَمَّا الرُّكُوعُ فَعَظِّمُوا فِيهِ الرَّبَّ عَزَّ وَجَلَّ وَأَمَّا السُّجُودُ فَاجْتَهِدُوا فِي الدُّعَاءِ فَقَمِنٌ أَنْ يُسْتَجَابَ لَكُمْ,"Verily, I have been prohibited from reciting the Quran while bowing or prostrating in prayer. As for bowing, you should exalt the Lord Almighty. As for prostration, you should exert yourself in supplication, for it is worthy that you be answered."
1454,أَقْرَبُ مَا يَكُونُ الْعَبْدُ مِنْ رَبِّهِ وَهُوَ سَاجِدٌ فَأَكْثِرُوا الدُّعَاءَ,"The servant is closest to his Lord during prostration, so increase your supplications therein."
1455,يَقُولُ اللَّهُ تَعَالَى أَنَا عِنْدَ ظَنِّ عَبْدِي بِي وَأَنَا مَعَهُ إِذَا ذَكَرَنِي فَإِنْ ذَكَرَنِي فِي نَفْسِهِ ذَكَرْتُهُ فِي نَفْسِي وَإِنْ ذَكَرَنِي فِي مَلَإٍ ذَكَرْتُهُ فِي مَلَإٍ خَيْرٍ مِنْهُمْ وَإِنْ تَقَرَّبَ إِلَيَّ بِشِبْرٍ تَقَرَّبْتُ إِلَيْهِ ذِرَاعًا وَإِنْ تَقَرَّبَ إِلَيَّ ذِرَاعًا تَقَرَّبْتُ إِلَيْهِ بَاعًا وَإِنْ أَتَانِي يَمْشِي أَتَيْتُهُ هَرْوَلَةً,"Allah Almighty says: I am as My servant expects of Me and I am with him as he remembers Me. If he remembers Me in himself, I will remember him in Myself. If he mentions Me in a gathering, I will mention him in a greater gathering. When he draws near Me by the span of his hand, I draw near him by the length of a cubit. When he draws near Me by the length of a cubit, I draw near him by the length of a fathom. When he comes to Me walking, I come to him running."
1456,لَا يَزَالُ لِسَانُكَ رَطْبًا مِنْ ذِكْرِ اللَّهِ عَزَّ وَجَلَّ,Keep your tongue moist with the remembrance of Allah.
1457,أَفْضَلُ الذِّكْرِ لَا إِلَهَ إِلَّا اللَّهُ وَأَفْضَلُ الدُّعَاءِ الْحَمْدُ لِلَّهِ,The best remembrance is to declare there is no God but Allah. The best supplication is to declare all praise is due to Allah.
1458,لَقِيتُ إِبْرَاهِيمَ لَيْلَةَ أُسْرِيَ بِي فَقَالَ يَا مُحَمَّدُ أَقْرِئْ أُمَّتَكَ مِنِّي السَّلَامَ وَأَخْبِرْهُمْ أَنَّ الْجَنَّةَ طَيِّبَةُ التُّرْبَةِ عَذْبَةُ الْمَاءِ وَأَنَّهَا قِيعَانٌ وَأَنَّ غِرَاسَهَا سُبْحَانَ اللَّهِ وَالْحَمْدُ لِلَّهِ وَلَا إِلَهَ إِلَّا اللَّهُ وَاللَّهُ أَكْبَرُ,"I met Abraham on the night of my Ascension and he said: O Muhammad, greet your nation with peace from me. Tell them Paradise has pure soil and delicious water, that it is a level plain and its plants grow with declarations of the glory of Allah, the praise of Allah, the oneness of Allah, and the greatness of Allah."
1459, أَلَا أُنَبِّئُكُمْ بِخَيْرِ أَعْمَالِكُمْ وَأَزْكَاهَا عِنْدَ مَلِيكِكُمْ وَأَرْفَعِهَا فِي دَرَجَاتِكُمْ وَخَيْرٌ لَكُمْ مِنْ إِنْفَاقِ الذَّهَبِ وَالْوَرِقِ وَخَيْرٌ لَكُمْ مِنْ أَنْ تَلْقَوْا عَدُوَّكُمْ فَتَضْرِبُوا أَعْنَاقَهُمْ وَيَضْرِبُوا أَعْنَاقَكُمْ,"Shall I not tell you of the best of your deeds, which is the purest to your King, which raises you among your ranks, which is better for you than spending gold and money in charity, and which is better for you than meeting your enemy and striking the necks of each other?"
1460,ذِكْرُ اللَّهِ تَعَالَى,It is the remembrance of Allah Almighty.
1461,أَلَا أَدُلُّكَ عَلَى كَلِمَةٍ مِنْ كُنُوزِ الْجَنَّةِ لَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللهِ,Shall I not tell you about a word among the treasures of Paradise? There is no movement or might but in Allah.
1462,وَتِلْكَ نِعْمَةٌ تَمُنُّهَا عَلَيَّ أَنْ عَبَّدتَّ بَنِي إِسْرَائِيلَ,"Moses said: Is this a favor of which you remind me, that you have enslaved the Children of Israel?"
1463,قَالَ سَنُقَتِّلُ أَبْنَاءَهُمْ وَنَسْتَحْيِي نِسَاءَهُمْ وَإِنَّا فَوْقَهُمْ قَاهِرُونَ,"Pharaoh said: We will slaughter their sons and keep their women alive. Indeed, we are subjugating them."
1464,فَقَالُوا أَنُؤْمِنُ لِبَشَرَيْنِ مِثْلِنَا وَقَوْمُهُمَا لَنَا عَابِدُونَ,They said: Should we believe two men like ourselves while their people are enslaved for us?
1465,ثُمَّ أَنتُمْ هَٰؤُلَاءِ تَقْتُلُونَ أَنفُسَكُمْ وَتُخْرِجُونَ فَرِيقًا مِّنكُم مِّن دِيَارِهِمْ تَظَاهَرُونَ عَلَيْهِم بِالْإِثْمِ وَالْعُدْوَانِ وَإِن يَأْتُوكُمْ أُسَارَىٰ تُفَادُوهُمْ وَهُوَ مُحَرَّمٌ عَلَيْكُمْ إِخْرَاجُهُمْ ۚ أَفَتُؤْمِنُونَ بِبَعْضِ الْكِتَابِ وَتَكْفُرُونَ بِبَعْضٍ,"Then you are those killing one another and evicting a party of your people from their homes, cooperating against them in sin and aggression. If they come to you as captives, you ransom them although their eviction was forbidden to you. So do you believe in part of the Scripture and disbelieve in part?"
1466,وَرَجُلٌ بَاعَ حُرًّا فَأَكَلَ ثَمَنَهُ,Allah will oppose a man who sells a free person and consumes the price.
1467,مذ كم تعبدتم الناس وقد ولدتهم أمهاتهم أحراراً,Since when did you enslave the people though they were born from their mothers in freedom?
1468,إِخْوَانُكُمْ وَخَوَلُكُمْ جَعَلَهُمْ اللَّهُ تَحْتَ أَيْدِيكُمْ فَمَنْ كَانَ أَخُوهُ تَحْتَ يَدَيْهِ فَلْيُطْعِمْهُ مِمَّا يَأْكُلُ وَلْيُلْبِسْهُ مِمَّا يَلْبَسُ وَلَا تُكَلِّفُوهُمْ مَا يَغْلِبُهُمْ فَإِنْ كَلَّفْتُمُوهُمْ فَأَعِينُوهُمْ عَلَيْهِ,"Your slaves are your brothers. Allah has placed them in your hand, and he who has his brother under him should feed him with the same food he eats and clothe him with the same clothes he wears, and do not burden him beyond his capacity, and if you burden him then help him."
1469,لَا يَقُولَنَّ أَحَدُكُمْ عَبْدِي فَكُلُّكُمْ عَبِيدُ اللَّهِ وَلَكِنْ لِيَقُلْ فَتَايَ وَلَا يَقُلْ الْعَبْدُ رَبِّي وَلَكِنْ لِيَقُلْ سَيِّدِي,"None of you should say: My slave, for all of you are the slaves of Allah. Rather, you should say: My boy. The servant should not say: My lord, but rather he should say: My chief."
1470,أَطْعِمُوهُمْ مِمَّا تَأْكُلُونَ وَأَلْبِسُوهُمْ مِنْ لَبُوسِكُمْ وَلاَ تُعَذِّبُوا خَلْقَ اللهِ عَزَّ وَجَلَّ,"Feed them from the same food you eat and clothe them from the same clothes you wear, and do not torture the creation of Allah the Exalted."
1471,خَدَمْتُ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَشْرَ سِنِينَ فَمَا قَالَ لِي أُفٍّ وَلَا لِمَ صَنَعْتَ وَلَا أَلَّا صَنَعْتَ,"I served the Prophet, peace and blessings be upon him, for ten years. By Allah, he never even said a mild rebuke to me and he never said harshly for anything: Why did you do that? Why did you not do that?"
1472, إِنْ كَانَتْ الْأَمَةُ مِنْ إِمَاءِ أَهْلِ الْمَدِينَةِ لَتَأْخُذُ بِيَدِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَتَنْطَلِقُ بِهِ حَيْثُ شَاءَتْ,"Any of the young servant girls among the people of Medina would take the hand of the Messenger of Allah, peace and blessings be upon him, and lead him wherever she wished."
1473,وَمَا أَدْرَاكَ مَا الْعَقَبَةُ فَكُّ رَقَبَةٍ,What will make you know what is the difficult path to Paradise? It is the freeing of a slave.
1474,مَنْ أَعْتَقَ رَقَبَةً مُسْلِمَةً أَعْتَقَ اللَّهُ بِكُلِّ عُضْوٍ مِنْهُ عُضْوًا مِنْ النَّارِ حَتَّى فَرْجَهُ بِفَرْجِهِ,"Whoever frees a Muslim slave, then Allah will free every limb of his body from the Hellfire, even his private parts."
1475,وَرَجُلٌ كَانَتْ عِنْدَهُ أَمَةٌ فَأَدَّبَهَا فَأَحْسَنَ تَأْدِيبَهَا وَعَلَّمَهَا فَأَحْسَنَ تَعْلِيمَهَا ثُمَّ أَعْتَقَهَا فَتَزَوَّجَهَا فَلَهُ أَجْرَانِ,"A man who owns a servant girl and he mentors her, teaches her beautiful manners, and educates her in the best way, then he emancipates her and marries her will have a double reward."
1476,أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَعْتَقَ صَفِيَّةَ وَجَعَلَ عِتْقَهَا صَدَاقَهَا,"The Prophet, peace and blessings be upon him, set free Safiya and made her emancipation as her dowry."
1477,وَالَّذِينَ يَبْتَغُونَ الْكِتَابَ مِمَّا مَلَكَتْ أَيْمَانُكُمْ فَكَاتِبُوهُمْ إِنْ عَلِمْتُمْ فِيهِمْ خَيْرًا ۖ وَآتُوهُم مِّن مَّالِ اللَّهِ الَّذِي آتَاكُمْ,"Those who seek a contract for emancipation from among those whom your right hands possess, then make a contract with them if you know there is within them goodness and give them from the wealth of Allah which He has given you."
1478,مَا ضَرَبَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ خَادِمًا لَهُ وَلَا امْرَأَةً وَلَا ضَرَبَ بِيَدِهِ شَيْئًا,"The Messenger of Allah, peace and blessings be upon him, did not strike a servant nor a woman, and he never struck anything with his hand."
1479,مَنْ ضَرَبَ غُلَامًا لَهُ حَدًّا لَمْ يَأْتِهِ أَوْ لَطَمَهُ فَإِنَّ كَفَّارَتَهُ أَنْ يُعْتِقَهُ,"Whoever strikes his slave without limit or slaps him, then the expiation for the sin is to emancipate him."
1480,اعْلَمْ أَبَا مَسْعُودٍ لَلَّهُ أَقْدَرُ عَلَيْكَ مِنْكَ عَلَيْهِ,"Know, O Abu Mas’ud, that Allah has more power over you than you have over him."
1481,أَمَا لَوْ لَمْ تَفْعَلْ لَلَفَحَتْكَ النَّارُ,"If you had not done so, you would have been burnt in the Hellfire."
1482,أَمَا عَلِمْتَ أَنَّ الصُّورَةَ مُحَرَّمَةٌ فَقَالَ لَقَدْ رَأَيْتُنِي وَإِنِّي لَسَابِعُ إِخْوَةٍ لِي مَعَ رَسُولِ اللَّهِ صلى الله عليه وسلم وَمَا لَنَا خَادِمٌ غَيْرُ وَاحِدٍ فَعَمَدَ أَحَدُنَا فَلَطَمَهُ فَأَمَرَنَا رَسُولُ اللَّهِ صلى الله عليه وسلم أَنْ نُعْتِقَهُ,"Did you not know that it is forbidden to strike the face? I was the seventh of my brothers during the lifetime of the Messenger of Allah, peace and blessing be upon him, and we had only one servant. One of us became enraged and slapped him, so the Messenger of Allah commanded us to set him free."
1483,لَا يَدْخُلُ الْجَنَّةَ سَيِّئُ الْمَلَكَةِ,He will not enter Paradise who is evil to his slaves.
1484,لاَ يَضْرِبُ أَحَدٌ عَبْدًا لَهُ وَهُوَ ظَالِمٌ لَهُ إِلاَّ أُقِيدَ مِنْهُ يَوْمَ الْقِيَامَةِ‏,None of you strikes his slave unjustly except that the slave will be granted retaliation on the Day of Resurrection.
1485,يَا أَبَا بَكْرٍ اللَّعَّانِينَ وَالصِّدِّيقِينَ‏؟‏ كَلاَّ وَرَبِّ الْكَعْبَةِ,"O Abu Bakr! Those who curse or those who are true? No, by the Lord of the Ka’bah!"
1486,لا أَعُودُ,Do not do it again.
1487,لَمَّا حَاصَرَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَهْلَ الطَّائِفِ أَعْتَقَ مِنْ رَقِيقِهِمْ,"When the Messenger of Allah, peace and blessings be upon him, besieged the people of At-Ta’if, he freed their slaves who came out to him."
1488,وَيُطْعِمُونَ الطَّعَامَ عَلَىٰ حُبِّهِ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا إِنَّمَا نُطْعِمُكُمْ لِوَجْهِ اللَّهِ لَا نُرِيدُ مِنكُمْ جَزَاءً وَلَا شُكُورًا,"They give food in spite of love for it to the needy, the orphan, and the captive, saying to themselves: We feed you only for the sake of Allah. We wish not from you reward or gratitude."
1489,أَطْعِمُوا الْجَائِعَ وَعُودُوا الْمَرِيضَ وَفُكُّوا الْعَانِيَ,"Feed the hungry, visit the sick, and set the captives free."
1490,الصَّلَاةَ وَمَا مَلَكَتْ أَيْمَانُكُمْ,"The prayer, and those whom your right hands possess."
1491,فَمَا رَأَى الْمُسْلِمُونَ حَسَنًا فَهُوَ عِنْدَ اللَّهِ حَسَنٌ,Whatever the Muslims view as good is good in the sight of Allah.
1492,الرِّجَالُ قَوَّامُونَ عَلَى النِّسَاءِ بِمَا فَضَّلَ اللَّهُ بَعْضَهُمْ عَلَىٰ بَعْضٍ وَبِمَا أَنفَقُوا مِنْ أَمْوَالِهِمْ,Men are guardians over women by what Allah has favored some over others and by what they spend of their wealth.
1493,أَيْ يَقُومُونَ بِالنَّفَقَةِ عَلَيْهِنَّ وَالذَّبِّ عَنْهُنَّ وَأَيْضًا فَإِنَّ فِيهِمُ الْحُكَّامَ وَالْأُمَرَاءَ وَمَنْ يَغْزُو وَلَيْسَ ذَلِكَ فِي النِّسَاءِ,"It means men sustain women by spending upon them and defending them. Likewise, among men are rulers, commanders, and those who wage military campaigns; it is not like that among women."
1494,لَنْ يُفْلِحَ قَوْمٌ وَلَّوْا أَمْرَهُمْ امْرَأَةً,A people will not succeed who are commanded by a woman.
1495,قُومُوا فَانْحَرُوا ثُمَّ احْلِقُوا,"Get up and offer your sacrifices, then shave your hair."
1496,يَا نَبِيَّ اللَّهِ أَتُحِبُّ ذَلِكَ اخْرُجْ ثُمَّ لاَ تُكَلِّمْ أَحَدًا مِنْهُمْ كَلِمَةً حَتَّى تَنْحَرَ بُدْنَكَ وَتَدْعُوَ حَالِقَكَ فَيَحْلِقَكَ,"O prophet of Allah, would you like your order to be carried out? Go out and do not speak to them until you have offered your own sacrifice and have called the barber to shave your head."
1497,وَجَوَازُ مُشَاوَرَةِ الْمَرْأَةِ الْفَاضِلَةِ  وَفَضْلُ أُمِّ سَلَمَةَ وَوُفُورُ عَقْلِهَا حَتَّى قَالَ إِمَامُ الْحَرَمَيْنِ لَا نَعْلَمُ امْرَأَةً أَشَارَتْ بِرَأْيٍ فَأَصَابَتْ إِلَّا أُمَّ سَلَمَةَ,"It is permissible to consult a meritorious woman, and the merit of Umm Salamah and her abundant intelligence were such that Imam al-Haramayn said: We do not know of a woman expressing her opinion and being correct as much as Umm Salamah."
1498,لَا تُغَالُوا فِي مُهُورِ النِّسَاءِ,Do not be excessive in the dowry of women.
1499,إِنَّ امْرَأَةً خَاصَمَتْ عُمَرَ فَخَصَمَتْهُ,"Indeed, a woman has challenged Umar and she has defeated him."
1500,امْرَأَةٌ أَصَابَتْ وَرَجُلٌ أَخْطَأَ,The woman is right and the man is wrong.
1501,وَخَالَفَ ابْنُ جَرِيرٍ الطَّبَرِيُّ فَقَالَ يَجُوزُ أَنْ تَقْضِيَ فِيمَا تُقْبَلُ شَهَادَتُهَا فِيهِ وَأَطْلَقَ بَعْضُ الْمَالِكِيَّةِ الْجَوَازَ,Ibn Jarir al-Tabari disagreed and he said it is permissible for a woman to be a judge over matters in which her testimony is accepted. Some of the Maliki scholars gave them unrestricted permission to do so.
1502,رَأَيْتُ سَمْرَاءَ بِنْتَ نَهِيكٍ وَكَانَتْ قَدْ أَدْرَكَتِ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَلَيْهَا دِرْعٌ غَلِيظٌ وَخِمَارٌ غَلِيظٌ بِيَدِهَا سَوْطٌ تُؤَدِّبُ النَّاسَ وَتَأْمُرُ بِالْمَعْرُوفِ وَتَنْهَى عَنِ الْمُنْكَرِ,"I saw Samra bint Nahik and she had met the Prophet, peace and blessings be upon him. She had on herself a thick corset and veil. In her hand was a whip which she used to discipline people, and she would enjoin good and forbid evil."
1503,أدركت رَسُول اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وكانت تمر فِي الأسواق وتأمر بالمعروف وتنهى عَنِ المنكر وتضرب الناس عَلَى ذلك بسوط كَانَ معها,"She knew the Messenger of Allah, peace and blessings be upon him, during her lifetime. She would patrol the markets by enjoining good and forbidding evil. She would discipline people with a whip she had with her."
1504,الترغيب في أداء الزكاة وتأكيد وجوبها,Encouragement to pay alms (zakat) and emphasizing its obligation.
1505,بُنِيَ الْإِسْلَامُ عَلَى خَمْسٍ عَلَى أَنْ يُعْبَدَ اللَّهُ وَيُكْفَرَ بِمَا دُونَهُ وَإِقَامِ الصَّلَاةِ وَإِيتَاءِ الزَّكَاةِ وَحَجِّ الْبَيْتِ وَصَوْمِ رَمَضَانَ,"Islam is built upon five: to worship Allah and to disbelieve in what is worshiped besides him, to establish prayer, to give charity, to perform Hajj pilgrimage to the house, and to fast the month of Ramadan."
1506,تَعْبُدُ اللَّهَ لَا تُشْرِكُ بِهِ شَيْئًا وَتُقِيمُ الصَّلَاةَ وَتُؤْتِي الزَّكَاةَ وَتَصِلُ ذَا رَحِمِكَ,"Worship Allah and do not associate anything with him, establish prayer, give in charity, and keep good relations with your family."
1507,إِنْ تَمَسَّكَ بِمَا أُمِرَ بِهِ دَخَلَ الْجَنَّةَ,"If he adheres to what he has been commanded, then he will enter Paradise."
1508,تَعْبُدُ اللَّهَ لَا تُشْرِكُ بِهِ شَيْئًا وَتُقِيمُ الصَّلَاةَ الْمَكْتُوبَةَ وَتُؤَدِّي الزَّكَاةَ الْمَفْرُوضَةَ وَتَصُومُ رَمَضَانَ,"Worship Allah and never associate anything with Him, establish the prescribed prayers, give the obligatory charity, and fast of the month of Ramadan."
1509,مَنْ سَرَّهُ أَنْ يَنْظُرَ إِلَى رَجُلٍ مِنْ أَهْلِ الْجَنَّةِ فَلْيَنْظُرْ إِلَى هَذَا,Whoever is pleased to see a man from the people of Paradise should look to him.
1510,بَايَعْتُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَلَى إِقَامِ الصَّلَاةِ وَإِيتَاءِ الزَّكَاةِ وَالنُّصْحِ لِكُلِّ مُسْلِمٍ,"I pledged allegiance to the Messenger of Allah, peace and blessings be upon him, to establish prayer, to give charity, and to be sincere to every Muslim."
1511,مِنَ الصِّدِّيقِينَ وَالشُّهَدَاءِ,Among the truthful and the martyrs.
1512,خَمْسٌ مَنْ جَاءَ بِهِنَّ مَعَ إِيمَانٍ دَخَلَ الْجَنَّةَ مَنْ حَافَظَ عَلَى الصَّلَوَاتِ الْخَمْسِ عَلَى وُضُوئِهِنَّ وَرُكُوعِهِنَّ وَسُجُودِهِنَّ وَمَوَاقِيتِهِنَّ وَصَامَ رَمَضَانَ وَحَجَّ الْبَيْتَ إِنْ اسْتَطَاعَ إِلَيْهِ سَبِيلًا وَأَعْطَى الزَّكَاةَ طَيِّبَةً بِهَا نَفْسُهُ وَأَدَّى الْأَمَانَةَ,"Whoever comes with five deeds, along with faith, will enter Paradise: one who preserves the five prayers, their ablution, their bowings, their prostrations, and their timings, who fasts the month of Ramadan, who performs Hajj pilgrimage to the House if he can find a way, who gives charity with a cheerful soul, and one who fulfills the trust."
1513,لَقَدْ سَأَلْتَنِي عَنْ عَظِيمٍ وَإِنَّهُ لَيَسِيرٌ عَلَى مَنْ يَسَّرَهُ اللَّهُ عَلَيْهِ تَعْبُدُ اللَّهَ وَلَا تُشْرِكْ بِهِ شَيْئًا وَتُقِيمُ الصَّلَاةَ وَتُؤْتِي الزَّكَاةَ وَتَصُومُ رَمَضَانَ وَتَحُجُّ الْبَيْتَ,"You have asked about an enormous matter, yet it is easy upon those for whom Allah makes it easy. Worship Allah and do not associate anything with him, establish the prayer, give the charity, fast the month of Ramadan, and perform pilgrimage to the House. "
1514,ثَلَاثٌ أَحْلِفُ عَلَيْهِنَّ لَا يَجْعَلُ اللهُ عَزَّ وَجَلَّ مَنْ لَهُ سَهْمٌ فِي الْإِسْلَامِ كَمَنْ لَا سَهْمَ لَهُ وَأَسْهُمُ الْإِسْلَامِ ثَلَاثَةٌ الصَّلَاةُ وَالصَّوْمُ وَالزَّكَاةُ وَلَا يَتَوَلَّى الله عَزَّ وَجَلَّ عَبْدًا فِي الدُّنْيَا فَيُوَلِّيهِ غَيْرَهُ يَوْمَ الْقِيَامَةِ,"I swear upon three of which Allah does not make one with a share in Islam like one without. The shares of Islam are three: prayer, fasting, and charity. Allah Almighty does not take a servant as an ally in this world and entrust him to another on the Day of Resurrection."
