,text
2893,فما لم يكن منه في حينه فلا حسن لعاقبته.
2894,وأنا قاطع حبائلك كلها غير أني تارك عقدة واحدة أرتهنك بها ولا أقطعها إلا في الساعة التي أعلم أنك فيها عني مشغول: وذلك عند معاينتي الصياد.
2895,ثم إن الجرذ أخذ في قطع حبائل السنور.
2896,فبينما هو كذلك إذ وافى الصياد فقال له السنور: الآن جاء الجد في قطع حبائلي.
2897,فأجهد الجرذ نفسه في القرض حتى إذا فرغ وثب السنور إلى الشجرة على دهش من الصياد ودخل الجرذ بعض الأحجار وجاء الصياد فأخذ حبائله مقطعةً، ثم انصرف خائباً.
2898,ثم إن الجرذ خرج بعد ذلك، وكره أن يدنو من السنّور، فناداه السنّور: أيها الصديق الناصح، ذو البلاء الحسن عندي، ما منعك من الدنوِّ إليّ، لأجازيك بأحسن ما أسديت إليّ، هلمَّ، إليَّ ولا تقطع إخائي: فإنه من اتخذ صديقاً، وقطع إخاءه، وأضاع صداقته، حُرِمَ ثمرة إخائه، وأيس من نفعه الإخوان والأصدقاء.
2899,وإن يدك عندي لا تنسى، وأنت حقيقٌ أن تلتمس مكافأة ذلك مني ومن إخواني وأصدقائي.
2900,ولا تخافنّ مني شيئاً.
2901,واعلم أن ما قِبلي لك مبذولٌ.
2902,ثم حلف واجتهد على صدقه فيما قال.
2903,فناداه الجرذ: ربَّ صداقة ظاهرة باطنها عداوة كامنة.
2904,وهي أشد من العداوة الظاهرة.
2905,ومن لم يحترس منها، وقع موقع الرجل الذي يركب ناب الفيل المغتلم ثم يغلبه النعاس فيستيقظ تحت فراسن الفيل، فيدوسه ويقتله.
2906,وإنما سمي الصديق صديقاً: لما يرجى من نفعه، وسمي العدو عدواً: لما يخاف من ضرره.
2907,والعاقل إذا رجا نفع العدو أظهر له الصداقة، وإذا خاف ضرّ الصديق أظهر له العداوة.
2908,ألا ترى؟
2909,تتّبع البهائم أمهاتها رجاء ألبانها، فإذا انقطع ذلك انصرفت عنها.
2910,وربما قطع الصديق عن صديقه بعض ما كان يصله، فلم يخف شرّه: لأن أصل أمره لم يكن عداوة.
2911,فأما من كان أصل أمره عداوة جوهرية، ثم أحدث صداقة لحاجة حملته على ذلك، فإنه إذا زالت الحاجة التي حملته على ذلك، زالت صداقته، فتحولت عداوة وصار إلى أصل أمره: كالماء الذي يسخن بالنار، فإذا رفع عنها عاد بارداً.
2912,وليس من أعدائي عدوٌّ أضر لي منك.
2913,وقد اضطرني وإياك وإلى ما أحدثنا من المصالحة.
2914,وقد ذهب الأمر الذي احتجت إليّ واحتجت إليك فيه، وأخاف أن يكون مع ذهابه عود العداوة.
2915,ولا خير للضعيف في قرب العدو القوي، ولا للذليل في قرب العدو العزيز.
2916,ولا أعلم لك قبلي حاجة، وليس عندي بك ثقة: فإني قد علمت أن الضعيف المحترس من العدو القوي أقرب إلى السلامة من القوي إذا اغتر بالضعيف واسترسل إليه.
2917,والعاقل يصالح عدوه إذا اضطر إليه، ويصانعه، ويظهر له ودّه، ويريه من نفسه الاسترسال إليه إذا لم يجد من ذلك بدّا، ثم يعجّل الانصراف عنه، حين يجد إلى ذلك سبيلا.
2918,واعلم أن سريع الاسترسال لا تقال عثرته.
2919,والعاقل يفي لمن صالحه من أعدائه بما جعل له من نفسه، ولا يثق به كل الثقة، ولا يأمنه على نفسه مع القرب منه.
2920,وينبغي أن يبعد عنه ما استطاع.
2921,وأنا أودك من بعيد، وأحب لك من البقاء والسلامة، ما لم أكن أحبه لك من قبل.
2922,ولا عليك أن تجازيني على صنيعي إلا بمثل ذلك: إذ لا سبيل إلى اجتماعنا والسلام.
2923,[باب ابن الملك والطائر فنزة] قال دبشليم الملك لبيدبا الفيلسوف: قد سمعت هذا المثل، فاضرب لي مثل أهل التِّرات الذين لا بد لبعضهم من اتقاء بعض.
2924,قال بيدبا: زعموا أن ملكاً من ملوك الهند كان يقال له بريدون، وكان له فرخ وكان هذا الطائر وفرخه ينطقان بأحسن منطق، وكان الملك بهما معجباً، فأمر بهما أن يجعلا عند امرأته، وأمرها بالمحافظة، عليهما.
2925,واتفق أن امرأة الملك ولدت غلاماً، فألف الفرخ الغلام.
2926,وكلاهما طفلان يلعبان جميعاً، وكان فنزة يذهب إلى الجبل كل يوم فيأتي بفاكهة لا تعرف فيطعم ابن الملك شطرها.
2927,ويطعم فرخه شطرها.
2928,فأسرع ذلك في نشأتهما وزاد في شبابهما وبان عليهما أثره عند الملك: فازداد لفنزة إكراماً وتعظيماً ومحبة حتى إذا كان يوم من الأيام وفنزة غائب في اجتناء الثمرة وفرخه في حجر الغلام ذرق في حجره فغضب الغلام وأخذ الفرخ فضرب به الأرض فمات.
2929,ثم إن فنزة أقبل فوجد فرخه مقتولاً فصاح وحزن وقال: قبحاً للملوك الذين لا عهد لهم ولا وفاء ويل لمن ابتلى بصحبة الملوك الذين لا حمي لهم ولا حرمة ولا يحبون أحد ولا يكرم عليهم إلا إذا طمعوا فيما عنده من غناه واحتاجوا إلى ما عنده من علم: فيكرمونه لذلك فإذا ظفروا بحاجتهم منه فلا ود ولا إخاء ولا إحسان ولا غفران ذنب ولا معرفة حق هم الذين أمرهم مبني على الرياء والفجور.
2930,وهم يستصغرون ما يرتكبونه من عظيم الذنوب ويستعظمون اليسير إذا خولفت فيه أهواؤهم.
2931,ومنهم هذا الكفور الذي لا رحمة له الغادر بأليفه وأخيه.
2932,ثم وثب في شدة حنقه على وجه الغلام ففقأ عينه، وطار فوقع على شرفة المنزل.
2933,ثم إنه بلغ الملك ذلك، فجزع أشد الفزع، ثم طمع أن يحتال له فوقف قريباً منه وناداه وقال له: إنك آمن فنزل يا فنزة.
2934,فقال له: أيها الملك إن الغادر مأخوذ بغدره وإنه إن أخطأه عاجل العقوبة لم يخطئه الآجل حتى إنه يدرك الأعقاب وأعقاب الأعقاب وإن ابنك غدر بابني، فعجلت له العقوبة.
2935,قال الملك: لعمري قد غدرنا بابنك، فانتقمت منا: فليس لك قبلنا ولا لنا قبلك وتر مطلوب.
2936,فارجع إلينا آمناً.
2937,قال فنزة: لست براجع إليك أبداً فإن ذوي الرأي قد نهوا عن قرب الموتور فإنه لا يزيدك لطف الحقود ولينه وتكرمه إياك إلا وحشة منه، وسوء ظن به: فإنك لا تجد للحقود الموتور أماناً هو أوثق لك من الذعر منه ولا أجود من البعد عنه ولأحترس منه أولى.
2938,وقد كان يقال: إن العاقل يعد أبويه أصدقاء والأخوة رفقاء والأزواج ألفاء والبنين ذكراً، والبنات خصماء والأقارب غرماء ويعد نفسه فريداً.
2939,وأنا الفريد الوحيد الغريب الطريد قد تزودت من عنكم من الحزن عبئاً ثقيلاً لا يحمله معي أحد.
2940,وأنا ذاهب.
2941,فعليك مني السلام.
2942,قال الملك: إنك لو لم تكن اجتزيت منا فيما صنعناه بك، بل كان صنيعك بنا من غير ابتداء منا بالغدر كان الأمر كما ذكرت.
2943,وأما إذا كنا نحن بدأناك، فما ذنبك؟
2944,وما الذي يمنعك من الثقة بنا؟
2945,هلم فارجع: فإنك آمن.
2946,قال فنزة: اعلم أن الأحقاد لها في القلوب مواقع ممكنة موجعة.
2947,فالألسن لا تصدق في خبرها عن القلوب، والقلب أعدل شهادة من اللسان على القلب.
2948,وقد علمت أن قلبي لا يشهد للسانك، ولا قلبك للساني.
2949,قال الملك: ألم تعلم أن الضغائن ولأحقاد تكون بين كثير من الناس: فمن كان ذا عقل كان على إماتة الحقد أحرص منه على تربيته.
2950,قال فنزة: إن ذلك لكما ذكرت، ولكن ليس ينبغي لذي الرأي مع ذلك أن يظن أن الموتور الحقود ناس ما وتر به، مصروف عنه فكره فيه.
2951,وذو الرأي يتخوف المكر والخديعة والحيل ويعلم أن كثيراً من العدو لا يستطاع بالشدة والمكابرة، حتى يصاد بالرفق والملاينة، كما يصاد الفيل الوحشي بالفيل الداجن.
2952,قال الملك: إن العاقل الكريم لا يترك إلفه، ولا يقطع إخوانه ولا يضيع الحفاظ، وإن هو خاف على نفسه، حتى إن هذا الخلق يكون قي أوضع الدواب منزلة: فقد علمت أن اللعابين يلعبون بالكلاب، ثم يذبحونها ويأكلونها.
2953,ويرى الكلب الذي قد ألفهم ذلك، فلا يدعوه إلى مفارقتهم، ولا يمنعه من إلفته إياهم.
2954,قال فنزة: إن الأحقاد مخوفة حيثما كانت.
2955,فأخوفها وأشدها ما كان في أنفس الملوك: فإن الملوك يدينون بالانتقام، ويرون الدرك والطلب بالوتر مكرمة وفخراً.
2956,وإن العاقل لا يغتر بسكون الحقد إذا سكن فإنما مثل الحقد في القلب، إذا لم يجد محركاً، مثل الجمر المكنون، ما لم سجد حطباً، فليس ينفك القد متطلعاً إلى العلل، كما تبتغي النار الحطب فإذا وج علة استعر استعار النار، فلا يطفئه حسن كلام، ولا لين ولا رفق ولا خضوع ولا تضرع ولا مصانعة، ولا شيء دون تلف الأنفس.
2957,مع أنه رب واتر يطمع في مراجعة الموتور بما يرجو أن يقدر عليه من النفع له، والدفع عنه.
2958,ولكني أنا أضعف عن أن أقدر على شيء يذهب به ما في نفسك.
2959,ولو كانت نفسك منطوية لي على ما تقول ما كان ذلك عني مغنياً ولا أزل في خوف ووحشة وسوء ظن، ما اصطحبنا.
2960,فليس الرأي بيني وبينك إلا الفراق.
2961,وأنا أقرأ عليك السلام.
2962,قال الملك: لقد علمت أنه لا يستطيع أحد لأحد ضراً ولا نفعاً، وأنه لا شيء من الأشياء صغيراً ولا كبيراً يصيب أحد ألا بقضاء وقدر معلوم.
2963,وكما أن خلق ما يخلق، وولادة ما يولد، وبقاء ما يبقى ليس إلى الخلائق منه شئ، كذلك فناء ما يفنى وهلاك ما يهلك.
2964,وليس لك في الذي صنعت بابني ذنب، ولا لا بني فيما صنع بابنك ذنب.
2965,إنما كان ذلك كله قدراً مقدوراً، وكلانا له علة: فلا نوأخذ بما به القدر.
2966,قال فنزة: إن القدر لكما ذكرت، لكن لا يمنع ذلك الحازم من توقى المخاوف، والاحتراس من المكاره.
2967,ولمنه يجمع تصديقاً بالقدر وأخذاً بالحزم والقوة.
2968,وأنا أعلم أنك تكلمني بغير ما في نفسك.
2969,والأمر بيني وبينك غير صغير: لأن ابنك قتل ابني، وأنا فقأت عين ابنك، وأنت تريد أن تشتفي بقتلي، وتخلني عن نفسي، والنفس تأبى الموت.
2970,وقد كان يقال: الفاقة بلاء والحزن بلاء وقرب العدو بلاء وفراق الأحبة بلاء والسقم بلاء والهرم بلاء، ورأس البلايا كلها الموت.
2971,وليس أحد بأعلم بما في نفس الموجع الحزين ممن ذاق مثل ما به.
2972,فأنا بما في نفسي عالم بما نفسك: للمثل الذي عندي من ذلك.
2973,ولا خير لي في صحبتك: فإنك لن تتذكر صنيعي بابنك، ولن أتذكر صنيع ابنك بابني، إلا أحدث ذلك لقلوبنا تغييراً.
2974,قال الملك: لا خير فيمن لا يستطيع الإعراض عما في نفسه، وينساه ويهمله، حتى لا بذكر منه شيئاً، ولا يكون له في نفسه موقع.
2975,قال فنزة: إن الرجل الذي في باطن قدمه قرحة، إن هو حرص على المشي فلا بد أنه لا يزال يشتكي قرحته، والرجل الأرمد العين إذا استقبل بها الريح، تعرض لأن تزداد رمداً.
2976,وكذلك الواتر إذا دنا من الموتور، فقد عرض نقسه للهلاك.
2977,ولا ينبغي لصاحب الدنيا إلا توقي المهالك والمتالف، وتقدير الأمور وقلة الاتكال على الحول والقوة، وقلة الاغترار بمن لا يأمن: فإنه من اتكل على قوته، فحمله ذلك على أن يسك الطريق المخوف، فقد سعى في حتف نفسه.
2978,ومن لا يقدر لطاقته طعامه وشرابه وحمل نفسه ما لا تطيق ولا تحمل فقد قتل نفسه.
2979,ومن لا يقدر لقمته، وعظمها فوق ما يسع فوه، فربما غص بها فمات.
2980,ومن اغتر بكلام عدوه، وانخدع له وضيع الحزم، فهو أعدى الحزم لنفسه من عدوه.
2981,وليس لأحد النظر في القدر الذي لا يدري ما يأتيه منه ولا ما يصرف عنه، ولكن عليه العمل بالحزم والأخذ بالقوة ومحاسبة نفسه في ذلك.
2982,والعاقل لا يثق بأحد ما استطاع، ولا يقيم على خوف وهو يجد عنه مذهباً.
2983,وأنا كثير المذاهب وأرجو ألا أذهب وجهاً ألا أصبت فيه مت يغنيني: فإن خلالاً خمساً من تزودهن كفينه في كل وجه، وآنسنه في غربة، وقربن له البعيد، وأكسبنه المعاش الإخوان: أولهن كف الأذى والثانية حسن الأدب، والثالثة مجانبة الريب والرابعة كرم الخلق، والخامسة النبل في العمل.
2984,وإذا خاف الإنسان على نفسه شيئاً طابت نفسه عن المال والأهل والولد والوطن: فإنه يرجو الخلف من ذلك كله ولا يرجو عن النفس خلفاً.
2985,وشر المال ما لا إنفاق منه وشر الأزواج التي لا تواتي بعلها، وشر الولد العاصي العاق لوالديه وشر الإخوان الخاذل لأخيه عند النكبات والشدائد، وشر الملوك الذي يخافه البريء، ولا يواظب على حفظ أهل مملكته، وشر البلاد بلاد بلا خصب فيها ولا أمن، وإنه لا أمن لي عندك أيها الملك ولا طمأنينة لي في جوارك.
2986,وثم ودع الملك وطار.
2987,فهذا مثل ذوي الأوتار الذين لا ينبغي لبعضهم أن يثق ببعض.
2988,[باب الأسد والشغبر الناسك وهو ابن آوى] قال دبشليم الملك لبيدبا الفيلسوف: قد سمعت هذا المثل فاضرب لي مثل الملك الذي يراجع من أصابته منه عقوبة من غير جرم أو جفوة من غير ذنب.
2989,قال الفيلسوف: إن الملك لو لم يراجع من أصابته منه جفوة عن ذنب أو عن غير ذنب، ظلم أولم يظلم لأضر ذلك ويخبر ما عنده من المنافع فإن كان ممن يوثق به في رأيه وأمانته، فإن الملك حقيق بالحرص على مراجعته: فإن الملك لا يستطاع ضبطه إلا مع ذوي الرأي وهم الوزراء والأعوان إلا بالمودة والنصيحة، ولا مودة ولا نصيحة إلا لذوي الرأي والعفاف.
2990,وأعمال السلطان كثيرة، والذين يحتاج إليهم من العمال والأعوان كثيرون.
2991,ومن يجمع منهم ما ذكرت من النصيحة والعفاف قليل.
2992,والمثل في ذلك مثل الأسد وابن آوى.
2993,قال الملك: وكيف كان ذلك؟
2994,قال الفيلسوف: زعموا أن ابن آوى كان يسكن في بعض الدحال وكان متزهداً متعففاً، مع بنات آوى وذئاب وثعالب.
2995,ولم يكن يصنع ما يصنعن، ولا يغير كما يغرن، ولا يهريق دماً ولا يأكل لحماً.
2996,فخاصمه تلك السباع، وقلن لا نرضى بسيرتك ولا رأيك الذي أنت عليه من تزهدك: مع أن تزهدك لا يغني عنك شيئاً.
2997,وأنت لا تستطيع أن تكون إلا كأحدنا: تسعى معنا، وتفعل فعلنا فما الذي كفك عن الدماء وعن أكل اللحم؟
2998,قال ابن آوى: إن صحبتي إياكن لا تؤثمني إذا لم أؤثم نفسي: لأن الآثام ليست من قبل الأماكن والأصحاب، ولكنها من قبل القلوب والأعمال.
2999,ولو كان صاحب المكان الصالح يكون عمله فيه صالحاً، وصاحب المكان السيء يكون عمله فيه سيئاً، كان حينئذ من قتل الناسك في محرابه لم يأثم، ومن استحياه في معركة القتال أثم.
3000,وإني إنما صحبتكن بنفسي، ولم أصحبكن بقلبي وأعمالي: لأني أعرف ثمرة الأعمال: فلزمت حالي: وثبت ابن آوى على حاله تلك واشتهر بالنسك والتزهد حتى بلغ ذلك أسداً كان ملك تلك الناحية فرغب فيه: لما بلغه عنه من العفاف والنزاهة والزهد والأمانة فأرسل إليه يستدعيه.
3001,فلما حضر كلمه وآنسه فوجده في جميع الأمور وفق غرضه.
3002,ثم دعاه بعد أيام إلى صحبته وقال له: تعلم أن عمالي كثير وأعواني جم غفير وأنا مع ذلك إلى الأعوان محتاج.
3003,وقد بلغني عنك عفاف وأدب وعقل ودين فازددت فيك رغبة.
3004,وأنا موليك من عملي جسيماً ورافعك إلى منزلة شريفة وجاعلك من خاصتي.
3005,قال ابن آوى: إن الملوك أحقاء باختيار الأعوان فيما يهتمون به من أعمالهم وأمورهم.
3006,وهم أحرى ألا يكرهوا على ذلك أحداً: فإن المكره لا يستطيع البالغة في العمل.
3007,وإني لعمل السلطان كاره.
3008,وليس لي به تجربة ولا بالسلطان رفق.
3009,وأنت ملك السباع وعندك من أجناس الوحوش عدد كثير فيهم أهل نبل وقوة ولهم على العمل حرص وعندهم به وبالسلطان رفق: فإن استعملتهم أغنوا عنك واغتبطوا لأنفسهم بما أصابهم من ذلك.
3010,قال الأسد: دع عنك هذا: فإني غير معفيك من العمل.
3011,قال ابن آوى: إنما يستطيع خدمة السلطان رجلان لست بواحد منهما: إما فاجر مصانع ينال حاجته بفجوره ويسلم بمصانعته وإما مغفل لا يحسده أحد.
3012,فن أراد أن يخدم السلطان بالصدق والعفاف فلا يخلط ذلك بمصانعته وحينئذ قل أن يسلم على ذلك: لأنه يجتمع عليه عدو السلطان وصديقه بالعداوة والحسد.
3013,أما الصديق فينافسه في منزلته ويبغى عليه فيها ويعاديه لأجلها وأما عدو السلطان فيضطغن عليه لنصيحته لسلطانه وإغنائه عنه.
3014,فإذا اجتمع عليه هذان الصنفان فقد تعرض للهلاك.
3015,قال الأسد: لا يكونن بغي أصحابي عليك وحسدهم إياك مما يعرض في نفسك: فأنت معي وأنا أكفيك ذلك وأبلغ بك من درجات الكرامة والإحسان على قدر همتك.
3016,قال ابن آوى: إن كان الملك يريد الإحسان إلي فليدعني في هذه البرية أعيش آمناً قليل الهم راضياً بعيشي من الماء والعشب: فإنى قد علمت أن صاحب السلطان يصل اليه من الأذى والخوف في ساعة واحدة ما لا يصل إلى غيره في طول عمره وإن قليلاً من العيش في آمن وطمأنينة خير من كثير من العيش في خوف ونصب.
3017,قال الأسد: قد سمعت مقالتك، فلا تخف شيئاً مما أراك تخاف منه.
3018,وست أجد بداً من الاستعانة بك في أمري.
3019,قال ابن آوى: أنا إذا أبى الملك إلا ذلك فليعجل لي عهداً إن بغى على أحد من أصحابه عنده، ممن هو فوقي: مخافة على منزلته، أو ممن هو دون: لينازعني في منزلتي فذكر عند الملك منهم ذاكر بلسانه، أو على لسان غيره ما يريد به تحميل الملك على ألا يعجل في أمر وأن يتثبت فيما يرفع إليه ويذكر عنده من ذلك ويفحص عنه ثم ليصنع ما بدا له.
3020,فإذا وثقت منه بذلك أعنته بنفسي فيما يحب وعملت له فيما أولاني بنصيحة واجتهاد وحرصت على ألا أجعل له على نفسي سبيلاً.
3021,قال الأسد: لك ذلك على وزيادة.
3022,ثم ولاه خزائنه واختص به دون أصحابه وزاد في كرامته.
3023,فلما رأى أصحاب الأسد ذلك غاظهم وساءهم؟
3024,فأجمعوا كيدهم، واتفقوا كلهم على أن يحملوا عليه الأسد وكلن الأسد قد استطاب لحماً فعزل منه مقدراً، وأمره بالاحتفاظ به، وأن يرفعه في أحصن موضع طعامه وحملوه إلى بيت ابن آوى، فخبئوه فيه، ولا علم له به، ثم حضروا يكذبونه إن جرت في ذلك حال.
3025,فلما كان من الغد ودعا الأسد بغدائه، فقد ذلك اللحم، فالتمسه ولم يجده، وابن آوى لم يشعر بما صنع في حقه من المكيدة.
3026,فحضر الذين عملوا المكيدة، وقعدوا في المجلس.
3027,ثم إن الملك سأل عن اللحم، وشدد فيه، وقي المسألة عنه، فنظر بعضهم إلى بعض، فقال أحدهم قول المخبر الناصح: إنه لا بد لنا من أن نخبر الملك بما يضره وينفعه، وإن شق ذلك على من يشق عليه.
3028,وإنه بلغني أن ابن آوى هو الذي ذهب باللحم إلى منزله.
3029,قال الآخر: لا أراه يفعل هذا، ولكن انظروا وفحصوا فإن معرفة الخلائق شديدة.
3030,فقال الآخر: لعمري ما تكاد السرائر تعرف، وأظنكم إن فحصتم عن هذا وجدتم اللحم ببيت ابن آوى، وكل شيء يذكر من عيوبه وخيانته نحن أحق أن نصدقه.
3031,قال الآخر: لئن وجدنا هذا حقاً فليست بالخيانة فقط، ولكن مع الخيانة كفر النعمة، والجراءة على الملك.
3032,قال الآخر: أنتم أهل العدل والفضل، لا أستطيع أن أكذبكم، ولكن سيبين هذا لو أرسل إلى الملك من يفتشه.
3033,قال الآخر: إن كان الملك مفتشاً منزله فليعجل: فإن عيونه وجواسيسه مبثوثة بكل مكان.
3034,ولم يزالوا في الكلام وأشباهه، حتى وقع في نفس الأسد ذلك، فأمر بابن آوى فحضر فقال له: أين اللحم الذي أمرتك بالاحتفاظ به، قال: دفعته إلى صاحب الطعام ليقربه إلى الملك.
3035,فدعا الأسد بصاحب الطعام، وكان ممن وبايع مع القوم على ابن آوى.
3036,فقال: ما دفع إلى شيئاً.
3037,فأرسل الأسد أميناً إلى بيت ابن آوى ليفتشه، فوجد فيه ذلك اللحم، فأتى به الأسد.
3038,فدنا من الأسد ذئب لم يكن تكلم في شيء من ذلك.
3039,وكان يظهر أنه من العدول الذين لا يتكلمون فيما لا يعلمون، حتى يتبين لهم الحق.
3040,فقال: بعد أن اطلع الملك على خيانة ابن آوى فلا يعفونَّ عنه: فإنه إن عفا عنه لم يطلع الملك بعدها على خيانة خائن، ولا ذنب مذنب.
3041,فأمر الأسد بابن آوى أن يخرج، ويحتفظ به.
3042,فقال بعض جلساء الملك: إني لأعجب من رأي الملك ومعرفته بالأمور كيف يخفى عليه أمر هذا، ولم يعرف خبثه ومخادعته؟
3043,وأعجب من هذا أني أراه سيصفح عنه، بعد الذي ظهر منه.
3044,فأرسل الأسد بعضهم رسولاً إلى ابن آوى يلتمس منه العذر، فرجع إليه الرسول برسالة كاذبة اخترعها فغضب الأسد من ذلك وأمر بابن آوى أن يقتل.
3045,فعلمت أم الأسد أنه قد عجّل في أمره، فأرسلت إلى الذين أمروا بقتله أن يؤخروه، ودخلت على ابنها، فقالت: يا بني بأي ذنب أمرت بقتل ابن آوى؟
3046,فأخبرها بالأمر.
3047,فقالت: يا بنيَّ عجّلت.
3048,وإنما يسلم العاقل من الندامة بترك العجلة وبالتثبت.
3049,والعجلة لا يزال صاحبها يجتني ثمرة الندامة، بسبب ضعف الرأي.
3050,وليس أحد أحوج إلى التُّؤدة والتثبت من الملوك: فإن المرأة بزوجها، والولد بوالديه، والمتعلم بالمعلم والجند بالقائد، والناسك بالدين، والعامة بالملوك، والملوك بالتقوى، والتقوى بالعمل، والعقل بالتثبت والأناة، ورأس الكل الحزم، ورأس الحزم للملك معرفة أصحابه، وإنزالهم منازلهم على طبقاتهم، واتهامه بعضهم على بعض.
3051,فإنه لو وجد بعضهم إلى هلاك بعض سبيلاً لفعل.
3052,وقد جربت ابن آوى، وبلوت رأيه وأمانته ومروءته، ثم لم تزل مادحاً له راضياً عنه.
3053,وليس ينبغي للملك أن يخوّنه بعد ارتضائه إياه وائتمانه له، ومنذ مجيئه إلى الآن لم يطلع له على خيانة إلا على العفة والنصيحة.
3054,وما كان رأي الملك أن يعجل عليه لأجل طابق لحم.
3055,وأنت أيها الملك حقيق أن تنظر في حال ابن آوى: لتعلم أنه لم يكن ليتعرّض للحم استودعته إياه.
3056,ولعل الملك إن فحص عن ذلك ظهر له أن ابن آوى له خصماء هم الذين أتمروا بهذا الأمر.
3057,وهم الذين ذهبوا باللحم إلى بيته فوضعوه فيه: فإن الحدأة إذا كان في رجلها قطعة لحم اجتمع عليها سائر الطير، والكلب إذا كان معه عظم اجتمع عليه الكلاب.
3058,وابن آوى منذ كان إلى اليوم نافع، وكان محتملاً لكل ضرر في جنب منفعة تصل إليك، ولكل عناء يكون لك فيه راحة، ولم يطوى دونك سراً.
3059,فبينما أم الأسد تقص عليه هذه المقالة، إذ دخل على الأسد بعض ثقاته، فأخبره ببراءة ابن آوى.
3060,فقالت أم الأسد، بعد أن اطلع الملك على براءة ابن آوى: إن الملك حقيق ألا يرخّص لمن سعى به لئلا يتجرءوا إلى ما هو أعظم من ذلك بل يعاقبهم عليه لكي لا يعودوا إلى مثله: فأنه لا ينبغي للعاقل أن يراجع في أمر الكفور للحسنى، الجريء على الغدر، الزاهد في الخير الذي لا يوقن بالآخرة.
3061,وينبغي أن يجزى بعمله، وقد عرفت سرعة الغضب وفرط الهفوة، ومن سخط باليسير لم يبلغ رضاه بالكثير.
3062,والأولى لك أن تراجع ابن آوى، وتعطف عليه، ولا يوئسنك من مناصحته ما فرط منك إليه من الإساءة: فإن من الناس من لا ينبغي تركه على حال من الأحوال، وهو من عرف بالصلاح والكرم وحسن العهد والشكر والوفاء والمحبة للناس والسلامة من الحسد والبعد من الأذى والاحتمال للإخوان والأصحاب وإن ثقلت عليه منه المئونة.
3063,وأما من ينبغي تركه فهو من عرف بالشراسة ولؤم العهد وقلة الشكر والوفاء والبعد من الرحمة والورع، واتصف بالجحود لثواب الآخرة وعقابها.
3064,وقد عرفت ابن آوى وجربته وأنت حقيق بمواصلته.
3065,فدعى الأسد بابن آوى وأعتذر إليه مما كان منه ووعده خيراً، وقال: إني معتذر إليك ورادّك إلى منزلتك.
3066,فقال ابن آوى: إن شر الأخلاء من التمس منعة نفسه بضر أخيه، ومن كان غير ناظر له كنظره لنفسه، أو كان يريد أن يرضيه بغير الحق لأجل إتباع هواه.
3067,وكثيراً ما يقع ذلك بين الأخلاء.
3068,وقد كان من الملك إلى ما علم فلا يغلظن على نفسه ما اخبره به إني به غير واثق، وإنه لا ينبغي لي أن أصحبه: فإن الملوك لا ينبغي أن يصحبوا من عاقبوه أشد العقاب، ولا ينبغي لهم أن يرفضوه أصلاً: فإن ذا السلطان إذا عزل كان مستحقاً للكرامة في حالة إبعاده والإقصاء له.
3069,فلم يلتفت الأسد إلى كلامه.
3070,ثم قال له: إني قد بلوت طباعك وأخلاقك، وجربت أمانتك ووفاءك وصدقك، وعرفت كذب من تمحّل الحيلة لتحملي عليك.
3071,وإني منزلك من نفسي منزلة الأخيار الكرماء، والكريم تنسيه الخلة الواحدة من الإحسان، الخلال الكثيرة من الإساءة.
3072,وقد عدنا إلى الثقة بك، فعد إلى الثقة بنا: فإن لنا ولك بذلك غطة وسروراً.
3073,فعاد ابن آوى إلى ولاية ما كان يلي، وضاعف له الملك الكرامة، ولم تزده الأيام إلا تقرباً من السلطان.
3074,[باب إيلاذ وبلاذ وايراخت] قال دبشليم الملك لبيدبا الفيلسوف: قد سمعت هذا المثل، فاضرب لي مثلاً في الأشياء التي يجب على الملك أن يلزم بها نفسه، ويحفظ ملكه ويثبت سلطانه، ويكون ذلك رأس أمره وملاكه: أبالحلم أم بالمروءة أم بالشجاعة أم بالجود؟
3075,قال بيدبا: إن أحق ما يحفظ به الملك ملكه الحلم، وبه تثبت السلطنة، والحلم رأس الأمور وملاكها، وأجود ما كان في الملوك: كالذي زعموا من أنه كان ملك يدعى بلاذ، وكان له وزير يدعى إيلاذ.
3076,وكان متعبداً ناسكاً.
3077,فنام الملك ذات ليلة، فرأى في منامه ثمانية أحلام أفزعته، فاستيقظ مرعوباً.
3078,فدعا البراهمة، وهم النسّاك ليعبروا رؤياه.
3079,فلما حضروا بين يديه قص عليهم ما رأى.
3080,فقالوا بأجمعهم: لقد رأى الملك عجباً فإن أمهلتنا سبعة أيام جئناه بتأويله.
3081,قال الملك: قد أمهلتكم فخرجوا من عنده ثم اجتمعوا في منزل أحدهم وأتمروا بينهم.
3082,وقالوا: قد وجدتم علماً واسعاً تدركون به ثأركم وتنقمون به من عدوكم، وقد علمتم أنه قتل منا بالأمس اثنى عشر ألفا.
3083,وها هو قد أطلعنا على سره وسألناه تفسير رؤياه: فهلم نغلظ له القول ونخوفه حتى يحمله الفرق والجزع على أن يفعل الذي نريد ونأمر.
3084,فنقول: ادفع إلينا أحباءك ومن يكرم عليك حتى نقتلهم: فإن قد نظرنا في كتابنا فلم نر أن يدفع عنك ما رأيت لنفسك وما وقعت فيه من هذا للشر إلا بقتل من نسمي لك فإن قال الملك: وما تريدون أن تقتلوا؟
3085,سموهم لي.
3086,قلنا نريد الملكة ايراخت أم جوير المحمودة أكرم نسائك عليك.
